Time	[PG]	[7-ADCA]	[CEX]	[PGME]	[PG]_0	[7-ADCA]_0	[PGME]_0
0	2	10	0	20	2	10	20
1	3.705	8.72	2.66	16.385			
2	5.77	7.025	3.885	12.45			
3	8.035	5.94	4.815	9.255			
5	11.965	5.18	5.755	5.135			
10	17.28	5.815	4.9	0.645			
15	19.93	7.57	3.24	0			
20	21.36	8.945	1.915	0			
25	22.55	9.87	1.075	0			
30	23.38	10.575	0.575	0			
							
0	1.3	20	0	20	1.3	20	20
1	2.955	18.58	3.205	16.5			
2	4.615	16.255	5.09	12.67			
3	6.175	14.82	6.385	9.915			
5	8.8	13.14	7.855	5.91			
10	13.25	12.625	8.225	1.32			
15	16.055	14.2	7.17	0			
20	17.62	15.445	5.63	0			
25	19.34	17.02	4.1	0			
30	20.8	18.5	2	0			
							
0	5.1	40	0	20	5.1	40	20
1	6.365	36.555	3.59	13.005			
2	7.59	33.87	5.57	9.505			
3	8.59	32.49	6.85	7.21			
5	10.13	30.405	8.24	4			
10	12.93	29.985	8.945	0.91			
15	14.565	30.675	8.18	0			
20	15.8	31.905	7.255	0			
25	16.98	33.045	6.39	0			
30	18.15	34.525	5.69	0			
							
0	1.9	60	0	20	1.9	60	20
1	2.94	56.8	3.77	15.345			
2	3.99	53.58	6.11	11.64			
3	4.935	51.6	7.74	8.975			
5	6.305	48.265	9.595	5.265			
10	8.87	47.6	11.325	1.455			
15	10.61	48.185	11.065	0.385			
20	12	49	10.2	0			
25	13.075	50.76	9.66	0			
30	14.24	52.505	9.005	0			
							
0	1.5	42	0	20	1.5	42	20
1	2.815	38.405	3.42	15.34			
2	4.105	36.06	5.52	12.075			
3	5.085	34.06	6.99	9.335			
5	6.69	31.46	8.78	5.515			
10	9.535	29.595	9.875	1.46			
15	11.49	30.615	9.44	0.35			
20	13.08	31.83	8.515	0			
25	14.505	32.985	7.47	0			
30	15.63	34.08	6.695	0			
							
0	3.3	42	0	40	3.3	42	40
1	4.75	37.9	3.625	34.595			
2	6.13	34.9	6.4	31.035			
3	7.52	32.805	8.5	27.01			
5	11.1	29.17	11.1	21.225			
10	17.315	24.5	15.645	10.1			
15	20.5	23	16.5	5.9			
20	22.605	22.595	16.345	3.33			
25	24.925	23.09	15.81	1.695			
30	26.5	24.8	15.255	0.84			
							
0	5.7	40	0	76	5.7	40	76
1	7.21	38.51	3.04	73.36			
2	8.735	36.175	5.195	69.3			
3	10.4	34.09	7.28	65.6			
5	13.49	31.025	10.295	60.2			
10	20.83	25.965	15.76	46.9			
15	26.8	22.94	18.74	38.03			
20	32.53	20.805	20.755	30.4			
25	36.77	19.445	21.89	24.655			
30	41.13	18.36	22.875	19.7			
							
0	14	40	0	140	14	40	140
1	17.9	38.8	1.53	138.2			
2	18.85	37.725	2.395	136			
3	19.735	36.88	3.04	134.745			
5	20.84	36.155	3.895	132.905			
10	22.595	34.61	4.99	130.085			
15	23.62	33.71	5.545	128.395			
20	25	33.11	5.98	126.75			
25	26.025	33.035	6.325	125.96			
30	26.93	32.8	6.625	124.6			
