Time	[PG]	[7-ADCA]	[CEX]	[PGME]	[PG]_0	[7-ADCA]_0	[PGME]_0
0	2	10	0	20	2	10	20
1	3.705	8.72	2.66	16.385			
2	5.77	7.025	3.885	12.45			
3	8.035	5.94	4.815	9.255			
5	11.965	5.18	5.755	5.135			
10	17.28	5.815	4.9	0.645			
15	19.93	7.57	3.24	0			
20	21.36	8.945	1.915	0			
25	22.55	9.87	1.075	0			
30	23.38	10.575	0.575	0			
							
0	1.3	20	0	20	1.3	20	20
1	2.955	18.58	3.205	16.5			
2	4.615	16.255	5.09	12.67			
3	6.175	14.82	6.385	9.915			
5	8.8	13.14	7.855	5.91			
10	13.25	12.625	8.225	1.32			
15	16.055	14.2	7.17	0			
20	17.62	15.445	5.63	0			
25	19.34	17.02	4.1	0			
30	20.8	18.5	2	0			
							
0	5.1	40	0	20	5.1	40	20
1	6.365	36.555	3.59	13.005			
2	7.59	33.87	5.57	9.505			
3	8.59	32.49	6.85	7.21			
5	10.13	30.405	8.24	4			
10	12.93	29.985	8.945	0.91			
15	14.565	30.675	8.18	0			
20	15.8	31.905	7.255	0			
25	16.98	33.045	6.39	0			
30	18.15	34.525	5.69	0			
							
0	1.9	60	0	20	1.9	60	20
1	2.94	56.8	3.77	15.345			
2	3.99	53.58	6.11	11.64			
3	4.935	51.6	7.74	8.975			
5	6.305	48.265	9.595	5.265			
10	8.87	47.6	11.325	1.455			
15	10.61	48.185	11.065	0.385			
20	12	49	10.2	0			
25	13.075	50.76	9.66	0			
30	14.24	52.505	9.005	0			
